idGrasa,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40 °C,Punto de Gota °C,"Punto de Soldadura Cuatro Bolas, kgf",Temperatura de Servicio °C min,Temperatura de Servicio °C max,Penetracion de Cono a 25 °C 0.1mm min,Penetracion de Cono a 25 °C 0.1mm max,Estabilidad Mecánica % min,Estabilidad Mecánica % max,Resistencia al Lavado por Agua a 80 °C % min,Resistencia al Lavado por Agua a 80 °C % max
0,1.8326473617243058,533.0450890787215,227.03941577598334,387.0918810253911,-18.474221871896788,105.56861188195889,302.0509816271524,305.32441144243603,2.080433425600716,3.3472115769295216,1.8134554423049631,2.291514430026056
1,1.4897533575082709,57.735693133389816,213.31645132451052,288.7570689357306,-4.137307219668571,148.25988299706628,275.05718826373436,275.265185092783,8.978262120977103,15.283139856430068,4.1898569926813,4.844884273314477
2,2.475880995230699,254.37925676226806,293.49571726128164,459.49995520175617,-0.9128193073599178,137.83168865478873,267.5010882507714,272.2929542409848,6.66775841425553,3.6947003943413237,3.3342424903903707,2.3509525623075276
3,1.8112355868054077,80.25095835989544,278.8180903872783,258.0060647989128,-13.33021380299817,120.5794681696149,269.513608552274,291.18570255473617,5.120483796369369,13.06186109622011,3.746225115488319,5.542858786279464
4,1.4906857773222515,92.74376064209957,210.0100811943324,258.03537059000746,-4.2919085854292405,123.49636524093263,298.2879328778455,315.74482448184676,1.6511404317600853,10.465588655845156,1.8978508488718144,4.343074683067263
5,1.8385569234354764,199.54486801387708,317.24534639513274,675.9960679398815,-0.38585339978116195,172.80053537270754,276.92273324251585,288.18791912849457,3.5473016273553384,7.725670650320346,2.849177317858981,4.074050033253851
6,1.9199623946266893,2075.1387716476547,316.19154692353715,874.2517246968856,-12.05046294953787,157.92676201310036,252.81337278487462,263.1597855031157,10.734306280740949,3.6238987270458907,4.805723760388452,1.9762987206419598
7,2.463713418029803,141.85189896073967,263.52488063573367,309.35035775560885,-4.328537538843804,140.56983101521087,274.7807504273514,284.11252561530534,0.909167333502447,5.744520331380139,0.49533112358289366,1.8152596593380417
8,1.293630584324137,520.4444314509967,234.10208004198097,382.22995942223235,-5.188878488549964,158.8694738750411,296.2826636553133,303.0283501049259,7.489332306740108,4.966786915352228,2.055024278429195,1.415295966883745
9,1.4421047102333988,388.4634394745183,302.8557807563047,873.3975968939253,-2.6341767689244477,124.9684828819406,276.17894062978917,291.2377222874038,8.117988972031595,10.181477197888782,3.6316313057863066,3.833047612510507
10,0.2683394068584586,62.199904129308266,264.37441860329295,460.211673615259,-10.513409479087699,159.68950488728,341.71640032588584,367.9601532805818,1.2523833988598105,11.672042611817123,0.20098642525804467,3.050866399920598
11,2.850380699867218,932.1240866585913,268.20722257649646,553.2052459852514,-10.095620533357579,145.54937999211674,235.82967590293126,236.4040222902457,6.050585440551575,3.9083190415762887,2.2490641578815165,1.727023097782972
12,1.1251867844795753,907.5081764513359,317.3049513506463,686.2331093215508,-3.04985953700319,179.71303152476662,304.6736345865567,305.22583392752404,6.655903096541357,5.293066190275774,3.6366349568059837,2.995108412509003
13,0.32502016106921205,1234.3864443715322,209.2820130494711,850.7090691356676,-14.082105290841707,110.91128682616339,329.8729892289554,332.3732264962701,10.1828386493017,5.940752127514345,3.996526972368538,3.0628128977689713
14,2.3155849895966676,199.3825346550395,275.7846963913659,367.3017849987179,-2.219282796332873,163.52268339659508,287.37236509881336,292.18875901251045,4.547761250568829,8.092156537076411,2.8663096507114942,4.271510084537014
15,1.1187494307082875,290.6618848938821,260.24235276785396,390.0937017906689,-9.607784821317491,108.49684643022866,286.7691069441091,295.883767635272,6.539872432486869,9.132594994108576,3.34816192463125,4.060850311575414
16,1.6865405738727728,119.7319336026764,195.57424578504853,284.4317753644618,-11.607500194280078,135.49977764782707,281.9776790308942,295.91740796124355,4.361481051506033,9.155092979318141,1.8256974916159336,3.141007477243858
18,2.3364613519263395,373.05919134976125,317.8404701015875,277.3119140148502,-25.450722778197985,192.77644451961834,250.36148185007454,272.7520896517297,1.6683416973032994,4.2771778967273,3.1136482848532525,3.621025719600296
19,2.4881963025020912,1538.318505770874,304.67419567750085,394.92141645644034,-4.462793851359539,153.8953209234092,265.0372988334153,274.73214684290633,2.9728738613386687,2.5657190674681707,2.624288103989706,2.563829407608294
20,2.4887728700286065,165.02686803081684,223.8095598796713,399.28795620761656,-8.312690317800051,155.01366615882893,267.7398673965613,257.85174852855755,3.9842744349884045,3.8494146273190917,0.8382725271867502,1.3364629327326012
21,0.1286762337956402,1412.8441665960918,312.2005801807152,712.2948564677733,-19.018212322697465,137.88888083340146,403.3732567379193,371.8706349253567,9.762231138010282,3.0585082782155837,5.310745964994638,3.658065655030433
22,0.9331655708801456,107.52445386359756,192.11707951997542,260.5566286236359,-6.0408356925833395,189.53609128409,296.80346405581287,297.35608594693963,0.2553818741073415,8.503023907790645,0.129251222302865,3.258501274940416
23,0.5491257583580378,231.50644988923742,231.5646331798863,524.6851557432599,-9.832416012873004,157.64188231244657,283.1081824537768,287.0582300099291,1.8175060985129923,7.082127305447969,2.1160922174990864,3.788330657895126
24,1.2320844067070262,219.02758713986373,232.44506578260092,473.1260419462789,-5.975577017352087,154.3565005623359,293.5149884293304,299.35924198337517,4.481238683325998,8.680497257975249,2.213425615639384,3.286235927968222
25,2.3057985289759837,222.1331273332833,246.267805306194,336.64595012595447,-11.162286359269284,151.54675098516663,256.27993529586524,271.40638930326156,0.6855989621689114,5.366462459216176,0.7408174305590847,2.6171961554409275
26,0.6142539744934332,598.6150242183045,272.25649099088156,560.7802231240912,-20.738061361953193,158.65953770036123,337.18345786487805,348.35449564249643,2.504607628645135,1.4228216948723094,0.9561590630710644,1.5635040557199975
27,2.3869523261499923,60.00289060353674,262.27107203250046,286.92031501857,-15.899071380984449,145.63146765060955,239.87602277740302,276.6943728968641,0.3068423252354129,7.881026999012606,0.12773717744742852,2.6242641231384427
28,2.1979892959089296,276.86114764599074,261.9876975652411,306.0817054001757,-1.7195081170527438,171.88743213660663,277.0331872684091,275.0079201776689,2.0709152623986906,6.9264911114437835,0.9288476126471714,1.9958393813388389
29,2.413360610581552,212.620237819952,286.0703579127591,397.6894833080266,-21.87480840405348,140.25415944838036,245.97609730837212,269.74477086805643,1.7963959783445365,4.654898818052732,1.4089921651315862,2.0624686588145087
31,0.03732288921907445,1269.8064863000336,260.5574832904787,535.9991262196124,-21.223116682450254,161.00167654103876,390.66739603129906,435.14238526932684,0.5113772241269352,2.3640834183575854,0.3553838822547415,1.6126225414859578
32,2.8838600692038527,244.3013169341037,304.97231118155565,375.93711941108927,-23.011690178574042,132.8301256146159,258.9343622895091,285.28144487358475,2.6429873356594777,2.790264865513102,1.4416770916357458,1.3833302447432276
34,0.8182060106975775,473.8689084177257,222.0343640371744,723.8975660790577,0.4509758465277791,178.9084162737002,307.4052642765553,304.0070568170522,3.845659779063931,5.829855295511072,0.7489024641851127,1.2811911217020022
35,0.07453056449638407,856.6375670168279,297.0512410405031,942.2470199407333,-22.395562967322746,106.01255565699586,380.6628629397285,367.8625219006261,9.127054107848256,1.4886439921181531,3.0697715939754993,1.124640991948069
37,2.602346075135638,498.8184402080613,302.9570820410819,300.17582978143673,1.3667695626803322,197.6072780420157,275.52888305355947,274.5124095678672,2.217511297222969,1.743916156700375,1.1645599766417045,1.1133698124915152
38,1.4648309862055637,67.70987490205778,315.93897450237375,313.49708519794126,-12.049256392207273,179.3664936838408,284.96307130240757,303.9206189522032,2.3152227454199097,8.599002362054419,3.035732672981696,4.80393077049004
39,1.5167491756731222,380.83535583331906,230.37911826161672,429.3120360400705,7.381485735259634,195.24559690108453,277.2983818595449,295.6042866736827,2.327940535416717,10.177283616629484,1.7875798673788512,3.517295477286874
40,2.251507841709176,136.34108820966833,231.71182064551567,288.0811502559076,-9.263176980353798,160.24364343532352,266.1029490510963,262.7717282844071,9.472493490840385,6.932999253173105,4.167156131189852,3.893178686916306
41,1.8884583405180106,84.22754131948051,178.26359448173204,277.5333179919908,-16.462014362336088,150.4247376770961,303.806885816913,296.82981559542276,2.9530724612748047,6.821133538505021,0.08238751826466206,1.5748230010734363
42,1.9045849392728946,233.44826017278373,288.1815749511297,276.04800884748283,-3.0028119478955517,178.19707905184003,268.5504001127774,274.30449154701574,3.5616400153613155,5.81208884496973,2.6621502701578756,3.4412556967535726
43,1.3056077194102946,120.13283989050075,211.51743452360722,288.87904058472145,-5.246757867167915,96.90628285816229,300.0660044970637,295.5126906538846,6.294379205362359,7.996264677017681,1.7417274081698095,2.4004393836770546
44,0.8351791677426852,96.72102232297152,260.8968455978324,251.30790432854346,-5.630404890845835,183.57701962197126,310.58814896903374,329.53571280677374,2.8550788353491736,6.68558709615614,2.0031304170343187,2.991232169322294
45,1.3095613825016041,186.7788092545386,96.63260500190884,258.4920285142939,-10.916246166640526,92.4078982162364,300.69109590482196,297.8492832415581,6.221751447603289,5.959351274145402,1.978502234583524,2.157602431873789
46,0.7480111984064632,612.9288903159215,225.7892054619276,459.54175042996735,-13.563653758819303,158.36725267888593,342.61453290530613,357.64185677160305,5.965431022653997,4.6862300204142135,2.4761709287690725,2.1911169650325717
